score,df,n_defs,tier_a_ratio,bilingual,bucket_code,head,en,key
0.7687,1,1,1.0,0.0,F,리터러시 AI,AI literacy,ai literacy
0.7687,1,1,1.0,0.0,F,모델 비특정 정보,model-independent information,model independent information
0.7687,1,1,1.0,0.0,J,모델 유도,model elicitation,model elicitation
0.7687,1,1,1.0,0.0,B,모델 평가,model evaluation,model evaluation
0.7687,1,1,1.0,0.0,J,모델의 사용 ( ),use,use
0.7687,1,1,1.0,0.0,F,모범 사례,best practice,best practice
0.7687,1,1,1.0,0.0,I,민감 운영 데이터,sensitive operational data,sensitive operational data
0.7687,1,1,1.0,0.0,F,범용 AI,General-purpose AI,general purpose ai
0.7687,1,1,1.0,0.0,C,법 집행,law enforcement,law enforcement
0.7687,1,1,1.0,0.0,C,법 집행 기관,law enforcement authority,law enforcement authority
0.7687,1,1,1.0,0.0,J,"법률 규정 사항 [시행 2026. 1. 22.] [법률 제21311호, 2026. 1. 20., 일부개정]","법률 규정 사항 [시행 2026. 1. 22.] [법률 제21311호, 2026. 1. 20., 일부개정]","법률 규정 사항 시행 2026. 1. 22. 법률 제21311호, 2026. 1. 20., 일부개정"
0.7687,1,1,1.0,0.0,F,사용 지침,instructions for use,instructions for use
0.7687,1,1,1.0,0.0,J,사전 고지 동의,informed consent,informed consent
0.7687,1,1,1.0,0.0,F,사후 시장 모니터링 시스템,post-market monitoring system,post market monitoring system
0.7687,1,1,1.0,0.0,J,사후 원격 생체 인식 시스템,post remote biometric identification system,post remote biometric identification system
0.7687,1,1,1.0,0.0,F,샌드박스 계획,sandbox plan,sandbox plan
0.7687,1,1,1.0,0.0,I,생체 데이터,biometric data,biometric data
0.7687,1,1,1.0,0.0,J,생체 분류 시스템,biometric categorisation system,biometric categorisation system
0.7687,1,1,1.0,0.0,J,생체 인식,biometric identification,biometric identification
0.7687,1,1,1.0,0.0,G,생체 확인,biometric verification,biometric verification
0.7687,1,1,1.0,0.0,F,서비스 개시,putting into service,putting into service
0.7687,1,1,1.0,0.0,F,수입업자,importer,importer
0.7687,1,1,1.0,0.0,I,스케일링 법칙,scaling law,scaling law
0.7687,1,1,1.0,0.0,F,시스템 리콜 AI,recall of an AI system,recall of an ai system
0.7687,1,1,1.0,0.0,J,시스템 프롬프트,system prompt,system prompt
0.7687,1,1,1.0,0.0,F,시스템 회수 AI,withdrawal of an AI system,withdrawal of an ai system
0.7687,1,1,1.0,0.0,D,시스템의 성능 AI,performance of an AI system,performance of an ai system
0.7687,1,1,1.0,0.0,F,시스템적 위험 관리,systemic risk management,systemic risk management
0.7687,1,1,1.0,0.0,F,시스템적 위험 등급,systemic risk tiers,systemic risk tiers
0.7687,1,1,1.0,0.0,F,시스템적 위험 수용 기준,시스템적 위험 수용 기준,시스템적 위험 수용 기준
0.7687,1,1,1.0,0.0,F,시스템적 위험 시나리오,systemic risk scenario,systemic risk scenario
0.7687,1,1,1.0,0.0,E,시스템적 위험 완화,systemic risk mitigations,systemic risk mitigations
0.7687,1,1,1.0,0.0,F,시스템적 위험 원천,systemic risk source,systemic risk source
0.7687,1,1,1.0,0.0,F,시스템적 위험 평가,systemic risk assessment,systemic risk assessment
0.7687,1,1,1.0,0.0,J,실시간 원격 생체 인식 시스템,real-time remote biometric identification system,real time remote biometric identification system
0.7687,1,1,1.0,0.0,J,실제 시험 계획,real-world testing plan,real world testing plan
0.7687,1,1,1.0,0.0,J,실제 환경 조건에서의 시험,testing in real-world conditions,testing in real world conditions
0.7687,1,1,1.0,0.0,F,실질적 변경,substantial modification,substantial modification
0.7687,1,1,1.0,0.0,J,아차 사고,near miss,near miss
0.7687,1,1,1.0,0.0,J,안전 요소,safety component,safety component
